dic_gloss,synonyms,sid,FSW
Número,"números, numero",269,M531x518S2ff00482x483S14c11505x480S22511495x468
O,o,38,M508x508S17610492x492
Oeiras,,116,M518x564S2e300488x502S10034492x534S2ff00482x483
Olá,"olá , oi",233,M564x548S30a00482x483S14c20539x517S2890a535x497S28902533x480
olá,,362,M564x552S30a00482x483S14c20539x517S2890a535x497S28902533x480S2fb04498x546
olá,ola,41,M549x529S30a00482x483S33e10492x505S14c20526x498S2880a525x482S28802524x465
ola2,,120,M550x536S30a00482x490S33e10492x513S30352494x476S28802527x477S2880a528x492S14c20526x505
olhar-dúvida-direita,,387,M518x541S30004482x483S1ee06490x516S32405482x483
olhar-dúvida-esquerda,,388,M538x541S30004482x483S1ee06490x516S32403482x483S22124516x513
OLHO DIREITO,"Olho direito, olho direito",488,M518x536S31410482x483S20500502x497S10b00495x510
OLHO ESQUERDO,"Olho esquerdo, olho esquerdo",489,M518x536S31420482x483S20500489x498S10b00480x510
OLHOS,"Olhos, olhos",487,M518x535S31400482x483S20500489x498S10b00495x509S20500501x498
olhos,,504,M536x559S31400482x483S11830521x492S23602489x520
OLHOS (VL 2),"Olhos (VL 2), olhos (VL 2)",491,M534x555S31400482x483S11800519x496S26a02520x528
onde,,289,M524x593S17752493x531S1f750488x578S2fe06493x558S35000482x483S33500476x483
Ontem,ontem,242,M539x579S2ff00482x483S10000524x487S10600521x553S2b704521x523
oque,"que, OQUE, QUE",367,M539x598S10010509x539S10018474x538S30c00482x491S30150496x475S27200499x579S27214454x576
ORELHA,"Orelha, orelha",490,M541x536S33010479x483S1f117518x506S20800523x493
OSSO,"Osso, osso",498,M550x537S37803493x480S3780b478x479S2e231523x510S2e239451x509S21100513x484S20311478x465S20319502x464
ou,"OU, Ou",384,M575x565S30a00482x491S34400482x491S30150495x474S14c21520x527S14c29467x528S2a208552x525S2a210439x537
outro,,190,M519x523S10011482x493S2c300493x478
OUVINTE,,447,M551x529S33010479x483S10011517x499S22a07538x497
